day,home team,away team
50,Indiana Pacers,Chicago Bulls
50,Miami Heat,Orlando Magic
50,Dallas Mavericks,Portland Trail Blazers
50,Phoenix Suns,Sacramento Kings
50,Utah Jazz,San Antonio Spurs
51,Cleveland Cavaliers,Golden State Warriors
51,Orlando Magic,Denver Nuggets
51,Atlanta Hawks,Washington Wizards
51,Brooklyn Nets,Oklahoma City Thunder
51,Toronto Raptors,Philadelphia 76ers
51,Memphis Grizzlies,LA Clippers
51,Milwaukee Bucks,Detroit Pistons
51,Minnesota Timberwolves,Charlotte Hornets
51,New Orleans Pelicans,Dallas Mavericks
51,Los Angeles Lakers,San Antonio Spurs
52,Boston Celtics,New York Knicks
52,Portland Trail Blazers,Phoenix Suns
52,Utah Jazz,Houston Rockets
53,Charlotte Hornets,Denver Nuggets
53,Detroit Pistons,Philadelphia 76ers
53,Orlando Magic,Indiana Pacers
53,Brooklyn Nets,Toronto Raptors
53,Cleveland Cavaliers,Sacramento Kings
53,Chicago Bulls,Oklahoma City Thunder
53,New Orleans Pelicans,Memphis Grizzlies
53,San Antonio Spurs,Los Angeles Lakers
53,Phoenix Suns,Miami Heat
53,Milwaukee Bucks,Golden State Warriors
54,Dallas Mavericks,Houston Rockets
54,Indiana Pacers,Sacramento Kings
54,Atlanta Hawks,Denver Nuggets
54,Cleveland Cavaliers,Washington Wizards
54,New York Knicks,Brooklyn Nets
54,Chicago Bulls,Boston Celtics
54,Memphis Grizzlies,Los Angeles Lakers
54,Portland Trail Blazers,Minnesota Timberwolves
54,LA Clippers,Miami Heat
55,Detroit Pistons,New Orleans Pelicans
55,Toronto Raptors,Milwaukee Bucks
55,San Antonio Spurs,Utah Jazz
55,New York Knicks,Charlotte Hornets
56,Indiana Pacers,Washington Wizards
56,Philadelphia 76ers,Detroit Pistons
56,Boston Celtics,New Orleans Pelicans
56,Chicago Bulls,Sacramento Kings
56,Milwaukee Bucks,Cleveland Cavaliers
56,Oklahoma City Thunder,Utah Jazz
56,Dallas Mavericks,Orlando Magic
56,Denver Nuggets,Memphis Grizzlies
56,Phoenix Suns,LA Clippers
56,Golden State Warriors,Minnesota Timberwolves
56,Los Angeles Lakers,Miami Heat
57,Houston Rockets,Portland Trail Blazers
57,San Antonio Spurs,Phoenix Suns
57,LA Clippers,Toronto Raptors
58,Charlotte Hornets,Detroit Pistons
58,Cleveland Cavaliers,New York Knicks
58,Indiana Pacers,Milwaukee Bucks
58,Philadelphia 76ers,Brooklyn Nets
58,Washington Wizards,Boston Celtics
58,Memphis Grizzlies,Portland Trail Blazers
58,New Orleans Pelicans,Oklahoma City Thunder
58,Dallas Mavericks,Atlanta Hawks
58,Utah Jazz,Miami Heat
58,Sacramento Kings,Minnesota Timberwolves
58,Golden State Warriors,Toronto Raptors
59,Houston Rockets,Los Angeles Lakers
59,San Antonio Spurs,LA Clippers
59,Orlando Magic,Chicago Bulls
59,Phoenix Suns,Dallas Mavericks
60,Boston Celtics,Atlanta Hawks
60,Charlotte Hornets,New York Knicks
60,Brooklyn Nets,Washington Wizards
60,Cleveland Cavaliers,Milwaukee Bucks
60,Philadelphia 76ers,Indiana Pacers
60,Memphis Grizzlies,Miami Heat
60,Denver Nuggets,Oklahoma City Thunder
60,Portland Trail Blazers,Toronto Raptors
60,Sacramento Kings,Golden State Warriors
61,Orlando Magic,Utah Jazz
61,Charlotte Hornets,Los Angeles Lakers
61,Detroit Pistons,Boston Celtics
61,Memphis Grizzlies,Houston Rockets
61,San Antonio Spurs,Chicago Bulls
61,Oklahoma City Thunder,LA Clippers
61,Phoenix Suns,Minnesota Timberwolves
62,Brooklyn Nets,Atlanta Hawks
62,Cleveland Cavaliers,Philadelphia 76ers
62,Indiana Pacers,New York Knicks
62,Washington Wizards,Los Angeles Lakers
62,Dallas Mavericks,Sacramento Kings
62,New Orleans Pelicans,Miami Heat
62,Denver Nuggets,Toronto Raptors
63,Detroit Pistons,Milwaukee Bucks
63,New York Knicks,Phoenix Suns
63,Houston Rockets,Utah Jazz
63,Minnesota Timberwolves,Sacramento Kings
63,Oklahoma City Thunder,Chicago Bulls
63,San Antonio Spurs,Philadelphia 76ers
63,Golden State Warriors,Memphis Grizzlies
63,LA Clippers,Portland Trail Blazers
64,Indiana Pacers,Cleveland Cavaliers
64,Atlanta Hawks,Washington Wizards
64,Brooklyn Nets,Los Angeles Lakers
64,Denver Nuggets,Dallas Mavericks
65,Charlotte Hornets,Cleveland Cavaliers
65,Orlando Magic,San Antonio Spurs
65,Philadelphia 76ers,New York Knicks
65,Boston Celtics,Phoenix Suns
65,Toronto Raptors,Indiana Pacers
65,Chicago Bulls,Brooklyn Nets
65,Houston Rockets,Washington Wizards
65,Milwaukee Bucks,New Orleans Pelicans
65,Minnesota Timberwolves,Detroit Pistons
65,Utah Jazz,Golden State Warriors
65,Portland Trail Blazers,Memphis Grizzlies
65,Sacramento Kings,Oklahoma City Thunder
66,Miami Heat,Houston Rockets
66,LA Clippers,Dallas Mavericks
67,Charlotte Hornets,Detroit Pistons
67,Toronto Raptors,Cleveland Cavaliers
67,Brooklyn Nets,Indiana Pacers
67,New York Knicks,Atlanta Hawks
67,Boston Celtics,Milwaukee Bucks
67,Chicago Bulls,Orlando Magic
67,San Antonio Spurs,Minnesota Timberwolves
67,Portland Trail Blazers,Utah Jazz
67,Sacramento Kings,Memphis Grizzlies
67,Los Angeles Lakers,New Orleans Pelicans
68,LA Clippers,Denver Nuggets
68,Washington Wizards,Phoenix Suns
68,Philadelphia 76ers,Toronto Raptors
68,Miami Heat,Milwaukee Bucks
68,Houston Rockets,San Antonio Spurs
68,Golden State Warriors,Dallas Mavericks
68,Utah Jazz,Oklahoma City Thunder
69,Detroit Pistons,Atlanta Hawks
69,Indiana Pacers,Washington Wizards
69,Boston Celtics,Charlotte Hornets
69,Brooklyn Nets,Phoenix Suns
69,Cleveland Cavaliers,Chicago Bulls
69,Orlando Magic,Miami Heat
69,Sacramento Kings,New Orleans Pelicans
69,Oklahoma City Thunder,Minnesota Timberwolves
69,Golden State Warriors,LA Clippers
69,Portland Trail Blazers,Dallas Mavericks
69,Los Angeles Lakers,Memphis Grizzlies
71,New York Knicks,Milwaukee Bucks
71,Houston Rockets,Oklahoma City Thunder
71,Boston Celtics,Philadelphia 76ers
71,Golden State Warriors,Los Angeles Lakers
71,Utah Jazz,Portland Trail Blazers
72,Detroit Pistons,Washington Wizards
72,Orlando Magic,Phoenix Suns
72,Atlanta Hawks,Indiana Pacers
72,Brooklyn Nets,Charlotte Hornets
72,Miami Heat,Toronto Raptors
72,Chicago Bulls,Minnesota Timberwolves
72,Memphis Grizzlies,Cleveland Cavaliers
72,Dallas Mavericks,New Orleans Pelicans
72,San Antonio Spurs,Denver Nuggets
72,LA Clippers,Sacramento Kings
73,Houston Rockets,Boston Celtics
73,Milwaukee Bucks,New York Knicks
73,Sacramento Kings,Los Angeles Lakers
73,Utah Jazz,Philadelphia 76ers
73,Golden State Warriors,Portland Trail Blazers
74,Charlotte Hornets,Brooklyn Nets
74,Indiana Pacers,Detroit Pistons
74,Orlando Magic,Toronto Raptors
74,Washington Wizards,Chicago Bulls
74,Miami Heat,Cleveland Cavaliers
74,Minnesota Timberwolves,Atlanta Hawks
74,New Orleans Pelicans,Dallas Mavericks
74,Denver Nuggets,San Antonio Spurs
74,Phoenix Suns,Oklahoma City Thunder
74,Los Angeles Lakers,LA Clippers
75,Milwaukee Bucks,Brooklyn Nets
75,New Orleans Pelicans,Houston Rockets
75,Washington Wizards,Charlotte Hornets
75,Atlanta Hawks,Cleveland Cavaliers
75,Memphis Grizzlies,Boston Celtics
75,Utah Jazz,New York Knicks
75,Phoenix Suns,Denver Nuggets
75,Portland Trail Blazers,Golden State Warriors
75,LA Clippers,San Antonio Spurs
76,Orlando Magic,Detroit Pistons
76,Miami Heat,Minnesota Timberwolves
76,Toronto Raptors,Chicago Bulls
76,Dallas Mavericks,Oklahoma City Thunder
76,Portland Trail Blazers,Philadelphia 76ers
76,Los Angeles Lakers,Sacramento Kings
77,Indiana Pacers,Atlanta Hawks
77,Charlotte Hornets,Orlando Magic
77,Houston Rockets,Memphis Grizzlies
77,San Antonio Spurs,Boston Celtics
77,New Orleans Pelicans,Minnesota Timberwolves
77,Oklahoma City Thunder,Dallas Mavericks
77,Phoenix Suns,Golden State Warriors
78,Toronto Raptors,Utah Jazz
78,Milwaukee Bucks,Detroit Pistons
78,Denver Nuggets,New York Knicks
78,Sacramento Kings,Portland Trail Blazers
78,LA Clippers,Philadelphia 76ers
79,Charlotte Hornets,Dallas Mavericks
79,Cleveland Cavaliers,Miami Heat
79,Washington Wizards,Atlanta Hawks
79,Brooklyn Nets,New Orleans Pelicans
79,Boston Celtics,Minnesota Timberwolves
79,Chicago Bulls,Orlando Magic
79,Memphis Grizzlies,Detroit Pistons
79,Phoenix Suns,Philadelphia 76ers
79,Los Angeles Lakers,Oklahoma City Thunder
80,San Antonio Spurs,Toronto Raptors
80,Sacramento Kings,Denver Nuggets
80,Golden State Warriors,Houston Rockets
81,Cleveland Cavaliers,Utah Jazz
81,Boston Celtics,Dallas Mavericks
81,Miami Heat,Washington Wizards
81,Chicago Bulls,Indiana Pacers
81,Memphis Grizzlies,Brooklyn Nets
81,Minnesota Timberwolves,Orlando Magic
81,Milwaukee Bucks,Atlanta Hawks
81,Phoenix Suns,LA Clippers
81,Los Angeles Lakers,New York Knicks
81,Portland Trail Blazers,Oklahoma City Thunder
82,Denver Nuggets,Charlotte Hornets
82,Detroit Pistons,Utah Jazz
82,Philadelphia 76ers,Dallas Mavericks
82,Cleveland Cavaliers,New Orleans Pelicans
82,Milwaukee Bucks,Toronto Raptors
82,San Antonio Spurs,Memphis Grizzlies
82,Portland Trail Blazers,Houston Rockets
82,Sacramento Kings,Golden State Warriors
83,Chicago Bulls,Brooklyn Nets
83,Minnesota Timberwolves,Los Angeles Lakers
83,LA Clippers,Orlando Magic
83,Atlanta Hawks,Miami Heat
83,Oklahoma City Thunder,Washington Wizards
83,Toronto Raptors,Indiana Pacers
83,Phoenix Suns,Charlotte Hornets
